account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count
1.84097E+14,1035269309904628,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,19/9/16,link,mostly true,,1,33,34
1.84097E+14,1035305953234297,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,19/9/16,link,mostly true,,34,63,27
1.84097E+14,1035322636565962,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,19/9/16,link,mostly true,,35,170,86
1.84097E+14,1035352946562931,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,19/9/16,video,mostly true,,568,3188,2815
1.84097E+14,1035366579894901,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,19/9/16,link,mostly true,,23,28,21
1.84097E+14,1035411183223774,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,19/9/16,video,mostly true,,46,409,105
1.84097E+14,1035430716555154,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,19/9/16,link,mostly true,,7,62,64
1.84097E+14,1035451683219724,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,19/9/16,link,mostly true,,7,39,6
1.84097E+14,1035453279886231,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,19/9/16,video,mostly true,,152,278,59
1.84097E+14,1035456253219267,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,19/9/16,link,mostly true,,8,29,14
1.84097E+14,1035491416549084,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,19/9/16,video,mostly true,,37,507,164
1.84097E+14,1035503133214579,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,19/9/16,link,mostly true,,4,23,2
1.84097E+14,1035527713212121,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,19/9/16,video,mostly true,,10,85,29
1.84097E+14,1035532526544973,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,19/9/16,link,mostly true,,10,41,14
1.84097E+14,1035558749875684,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,19/9/16,video,no factual content,,3,9,3
